movieId,title,year,year_norm,genres,genres_str,tags_str,content_str,imdbId,tmdbId,rating_count,rating_mean
1,Toy Story (1995),1995,0.8017241379310345,Adventure|Animation|Children|Comedy|Fantasy,adventure animation children comedy fantasy,pixar fun,adventure animation children comedy fantasy pixar fun,114709,862,215,3.9209
2,Jumanji (1995),1995,0.8017241379310345,Adventure|Children|Fantasy,adventure children fantasy,fantasy magic board game robin williams game,adventure children fantasy fantasy magic board game robin williams game,113497,8844,110,3.4318
3,Grumpier Old Men (1995),1995,0.8017241379310345,Comedy|Romance,comedy romance,moldy old,comedy romance moldy old,113228,15602,52,3.2596
4,Waiting to Exhale (1995),1995,0.8017241379310345,Comedy|Drama|Romance,comedy drama romance,,comedy drama romance,114885,31357,7,2.3571
5,Father of the Bride Part II (1995),1995,0.8017241379310345,Comedy,comedy,pregnancy remake,comedy pregnancy remake,113041,11862,49,3.0714
6,Heat (1995),1995,0.8017241379310345,Action|Crime|Thriller,action crime thriller,,action crime thriller,113277,949,102,3.9461
7,Sabrina (1995),1995,0.8017241379310345,Comedy|Romance,comedy romance,remake,comedy romance remake,114319,11860,54,3.1852
8,Tom and Huck (1995),1995,0.8017241379310345,Adventure|Children,adventure children,,adventure children,112302,45325,8,2.875
9,Sudden Death (1995),1995,0.8017241379310345,Action,action,,action,114576,9091,16,3.125
10,GoldenEye (1995),1995,0.8017241379310345,Action|Adventure|Thriller,action adventure thriller,,action adventure thriller,113189,710,132,3.4962
11,"American President, The (1995)",1995,0.8017241379310345,Comedy|Drama|Romance,comedy drama romance,politics president,comedy drama romance politics president,112346,9087,70,3.6714
12,Dracula: Dead and Loving It (1995),1995,0.8017241379310345,Comedy|Horror,comedy horror,,comedy horror,112896,12110,19,2.4211
13,Balto (1995),1995,0.8017241379310345,Adventure|Animation|Children,adventure animation children,,adventure animation children,112453,21032,8,3.125
14,Nixon (1995),1995,0.8017241379310345,Drama,drama,politics president,drama politics president,113987,10858,18,3.8333
15,Cutthroat Island (1995),1995,0.8017241379310345,Action|Adventure|Romance,action adventure romance,,action adventure romance,112760,1408,13,3.0
16,Casino (1995),1995,0.8017241379310345,Crime|Drama,crime drama,mafia,crime drama mafia,112641,524,82,3.9268
17,Sense and Sensibility (1995),1995,0.8017241379310345,Drama|Romance,drama romance,jane austen,drama romance jane austen,114388,4584,67,3.7761
18,Four Rooms (1995),1995,0.8017241379310345,Comedy,comedy,,comedy,113101,5,20,3.7
19,Ace Ventura: When Nature Calls (1995),1995,0.8017241379310345,Comedy,comedy,,comedy,112281,9273,88,2.7273
20,Money Train (1995),1995,0.8017241379310345,Action|Comedy|Crime|Drama|Thriller,action comedy crime drama thriller,,action comedy crime drama thriller,113845,11517,15,2.5
21,Get Shorty (1995),1995,0.8017241379310345,Comedy|Crime|Thriller,comedy crime thriller,hollywood,comedy crime thriller hollywood,113161,8012,89,3.4944
22,Copycat (1995),1995,0.8017241379310345,Crime|Drama|Horror|Mystery|Thriller,crime drama horror mystery thriller,serial killer,crime drama horror mystery thriller serial killer,112722,1710,36,3.2222
23,Assassins (1995),1995,0.8017241379310345,Action|Crime|Thriller,action crime thriller,,action crime thriller,112401,9691,16,3.125
24,Powder (1995),1995,0.8017241379310345,Drama|Sci-Fi,drama scifi,,drama scifi,114168,12665,28,3.125
25,Leaving Las Vegas (1995),1995,0.8017241379310345,Drama|Romance,drama romance,alcoholism,drama romance alcoholism,113627,451,76,3.625
26,Othello (1995),1995,0.8017241379310345,Drama,drama,shakespeare,drama shakespeare,114057,16420,13,3.5
27,Now and Then (1995),1995,0.8017241379310345,Children|Drama,children drama,,children drama,114011,9263,9,3.3333
28,Persuasion (1995),1995,0.8017241379310345,Drama|Romance,drama romance,in netflix queue jane austen,drama romance in netflix queue jane austen,114117,17015,11,4.2273
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995,0.8017241379310345,Adventure|Drama|Fantasy|Mystery|Sci-Fi,adventure drama fantasy mystery scifi,kidnapping,adventure drama fantasy mystery scifi kidnapping,112682,902,38,4.0132
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995,0.8017241379310345,Crime|Drama,crime drama,,crime drama,115012,37557,3,3.0
31,Dangerous Minds (1995),1995,0.8017241379310345,Drama,drama,high school teacher,drama high school teacher,112792,9909,38,3.1842
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995,0.8017241379310345,Mystery|Sci-Fi|Thriller,mystery scifi thriller,time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake twist ending,mystery scifi thriller time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake twist ending,114746,63,177,3.9831
34,Babe (1995),1995,0.8017241379310345,Children|Drama,children drama,animal movie pigs villain nonexistent or not needed for good story,children drama animal movie pigs villain nonexistent or not needed for good story,112431,9598,128,3.6523
36,Dead Man Walking (1995),1995,0.8017241379310345,Crime|Drama,crime drama,death penalty nun,crime drama death penalty nun,112818,687,67,3.8358
38,It Takes Two (1995),1995,0.8017241379310345,Children|Comedy,children comedy,twins,children comedy twins,113442,33689,4,2.125
39,Clueless (1995),1995,0.8017241379310345,Comedy|Romance,comedy romance,chick flick funny paul rudd quotable seen more than once emma jane austen,comedy romance chick flick funny paul rudd quotable seen more than once emma jane austen,112697,9603,104,3.2933
40,"Cry, the Beloved Country (1995)",1995,0.8017241379310345,Drama,drama,in netflix queue south africa,drama in netflix queue south africa,112749,34615,2,4.25
41,Richard III (1995),1995,0.8017241379310345,Drama|War,drama war,shakespeare,drama war shakespeare,114279,31174,15,3.7
42,Dead Presidents (1995),1995,0.8017241379310345,Action|Crime|Drama,action crime drama,,action crime drama,112819,11443,7,3.0
43,Restoration (1995),1995,0.8017241379310345,Drama,drama,england,drama england,114272,35196,8,3.1875
44,Mortal Kombat (1995),1995,0.8017241379310345,Action|Adventure|Fantasy,action adventure fantasy,,action adventure fantasy,113855,9312,46,2.5435
45,To Die For (1995),1995,0.8017241379310345,Comedy|Drama|Thriller,comedy drama thriller,journalism,comedy drama thriller journalism,114681,577,32,3.3125
46,How to Make an American Quilt (1995),1995,0.8017241379310345,Drama|Romance,drama romance,wedding,drama romance wedding,113347,11861,15,3.0667
47,Seven (a.k.a. Se7en) (1995),1995,0.8017241379310345,Mystery|Thriller,mystery thriller,mystery twist ending serial killer,mystery thriller mystery twist ending serial killer,114369,807,203,3.9754
48,Pocahontas (1995),1995,0.8017241379310345,Animation|Children|Drama|Musical|Romance,animation children drama musical romance,,animation children drama musical romance,114148,10530,68,3.1471
49,When Night Is Falling (1995),1995,0.8017241379310345,Drama|Romance,drama romance,,drama romance,114916,8391,1,3.0
50,"Usual Suspects, The (1995)",1995,0.8017241379310345,Crime|Mystery|Thriller,crime mystery thriller,mindfuck suspense thriller tricky twist ending heist,crime mystery thriller mindfuck suspense thriller tricky twist ending heist,114814,629,204,4.2377
52,Mighty Aphrodite (1995),1995,0.8017241379310345,Comedy|Drama|Romance,comedy drama romance,adoption prostitution,comedy drama romance adoption prostitution,113819,11448,28,3.4643
53,Lamerica (1994),1994,0.7931034482758621,Adventure|Drama,adventure drama,,adventure drama,110299,49133,2,5.0
54,"Big Green, The (1995)",1995,0.8017241379310345,Children|Comedy,children comedy,,children comedy,112499,26441,3,2.3333
55,Georgia (1995),1995,0.8017241379310345,Drama,drama,,drama,113158,97406,1,4.0
57,Home for the Holidays (1995),1995,0.8017241379310345,Drama,drama,,drama,113321,9089,8,3.0625
58,"Postman, The (Postino, Il) (1994)",1994,0.7931034482758621,Comedy|Drama|Romance,comedy drama romance,writing,comedy drama romance writing,110877,11010,37,4.027
60,"Indian in the Cupboard, The (1995)",1995,0.8017241379310345,Adventure|Children|Fantasy,adventure children fantasy,,adventure children fantasy,113419,11359,34,3.2353
61,Eye for an Eye (1996),1996,0.8103448275862069,Drama|Thriller,drama thriller,,drama thriller,116260,17182,6,3.75
62,Mr. Holland's Opus (1995),1995,0.8017241379310345,Drama,drama,music,drama music,113862,2054,80,3.7062
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996,0.8103448275862069,Comedy|Crime,comedy crime,,comedy crime,116126,10607,7,2.7143
